chapter_number,volume,name,romanized_title,viz_title,pages,date,episodes,,,,
200,22,Water Luffy,Mizu Rufi,Water Luffy,19,22/09/2001,Episode 122 (p. 2-19),,,,
201,22,Nico Robin,Niko Robin,Nico Robin,19,01/10/2001,"BON VOYAGE! (p. 1-2), Episode 122 (p. 3-19)",,,,
202,22,The Royal Crypt,Oke no Haka,The Royal Mausoleum,19,06/10/2001,Episode 123 (p. 2-19),,,,
203,22,Crocish,Wanippoi,Crocodile-ish,19,15/10/2001,Episode 123 (p. 2-19),,,,
204,22,RED,Reddo,RED,19,22/10/2001,Episode 124 (p. 2-19),,,,
205,22,The Suna Suna Clan's Secret Base,Suna-Suna-Dan Himitsu Kichi,The Sand-Sand Band's Secret Fort,19,29/10/2001,Episode 124 (p. 2-19),,,,
206,23,Ignition,Tenka,Ignition,19,05/11/2001,Episode 125 (p. 2-19),,,,
207,23,Nightmare,Akumu,Nightmare,19,12/11/2001,Episode 125 (p. 2-19),,,,
208,23,Guardian Spirits,Shugoshin,Guardian Spirit,19,19/11/2001,"Episode 125 (p. 2-5, 10-19), Episode 126 (p. 6-9)",,,,
209,23,I Will Surpass You,Koete Yuku,I Will Defeat You,21,26/11/2001,Episode 126 (p. 2-21),,,,
210,23,0,Zero,0,17,03/12/2001,Episode 126 (p. 2-17),,,,
211,23,King,Ou,King,19,10/12/2001,Episode 127 (p. 2-19),,,,
212,23,Some Justice,Ikutsuka no Seigi,Some Justice,19,17/12/2001,Episode 127 (p. 2-19),,,,
213,23,VIP,Bippu,V.I.P.,23,28/12/2001,Episode 128 (p. 2-23),,,,
214,23,Plan to Escape From the Kingdom of Sand,Suna no Kuni Dasshutsu Sakusen,Strategy to Escape the Sand Kingdom,19,07/01/2002,Episode 128 (p. 2-19),,,,
215,23,Last waltz,Rasuto Warutsu,Last Waltz,19,21/01/2002,Episode 129 (p. 2-19),,,,
216,23,Vivi's Adventure,Bibi no Boken,Vivi's Adventure,19,28/01/2002,Episode 129 (p. 2-19),,,,
217,24,Stowaway,Mikkosha,Stowaway,19,04/02/2002,Episode 130 (p. 2-19),,,,
218,24,Why the Log Pose is Spherical,Rogu Posu ga Marui Wake,Why the Log Pose is Dome-Shaped,19,18/02/2002,"Episode 130 (p. 2-13), Episode 144 (p. 14-18)",,,,
219,24,Salvage King Masira,Sarubeji-O Mashira,Masira the Salvage King,19,25/02/2002,Episode 144 (p. 2-19),,,,
220,24,Sea Floor Stroll,Kaitei Sanpo,A Walk on the Seafloor,19,04/03/2002,Episode 144 (p. 2-19),,,,
221,24,Monsters,Kaibutsu,Monsters,19,11/03/2002,Episode 145 (p. 2-19),,,,
222,24,Big Time Rookies,Ogata Ruki,The Giant Novice,19,18/03/2002,"Episode 145 (p. 2-7), Episode 146 (p. 8-19)",,,,
223,24,I Promise Not to Fight Within This Town,Watakushi wa Kono Machi de wa Kesshite Kenka Shinai to Chikaimasu,I Promise Never to Fight in This Town,19,25/03/2002,Episode 146 (p. 2-19),,,,
224,24,Never Dream,Yume o Miruna,Do Not Dream,19,01/04/2002,Episode 146 (p. 2-19),,,,
225,24,People's Dreams,Hito no Yume,People's Dreams,19,08/04/2002,Episode 147 (p. 2-19),,,,
226,24,Shoujou King of the Ocean Floor Searches,Kaitei Tansaku-O Shojo,"Shoujou, the Salvage King of the Seafloor",19,15/04/2002,"Crazy Rainbow (p. 1-2), Episode 147 (p. 2-18)",,,,
227,25,Noland the Liar,Usotsuki Norando,Noland the Liar,19,22/04/2002,Episode 148 (p. 2-19),,,,
228,25,"Last Boss of the Allied Saruyama Forces, Mont Blanc Cricket",'Saruyama Rengo-gun Rasuto Bosu' Monburan Kuriketto,"Mont Blanc Cricket, the Last Boss of the Monkey Mountain Allied Force",19,27/04/2002,Episode 148 (p. 2-19),,,,
229,25,Let's Eat,Meshi o Kuo,Let's Eat,19,13/05/2002,Episode 149 (p. 2-19),,,,
230,25,Find the South Bird!!,Sausu Bado o Oe!!,Pursue the South Bird!,19,20/05/2002,Episode 149 (p. 2-19),,,,
231,25,Bellamy the Hyena,Haiena no Berami,Bellamy the Hyena,19,27/05/2002,Episode 150 (p. 2-19),,,,
232,25,The Hundred Million Man,Ichioku no Otoko,The 100 Million Berry Man,19,03/06/2002,"Episode 150 (p. 2-10), Episode 151 (p. 11-18)",,,,
233,25,The Highest Authority in the World,Sekai Saiko Kenryoku,The World's Greatest Power,19,10/06/2002,"Episode 151 (p. 2-7, 15-17), Episode 145 (p. 8-14)",,,,
234,25,Please Be Sure to Remember It,Gokioku Kudasaimasu Yo ni,Please Remember,19,17/06/2002,Episode 151 (p. 2-19),,,,
235,25,Knock Up Stream,Nokku Appu Sutorimu,The Knock Up Stream,19,24/06/2002,Episode 152 (p. 2-19),,,,
236,25,The Ship Goes Into the Sky,Fune wa Sora o Yuku,The Ship Sails to the Sky,19,01/07/2002,"Episode 778 (p. 1), Episode 152 (p. 2-19)",,,,
237,26,In the Sky,Joku nite,High in the Sky,19,08/07/2002,"Episode 778 (p. 1), Episode 153 (p. 2-19)",,,,
238,26,Heaven's Gate,Tengoku no Mon,Heaven's Gate,17,15/07/2002,"Episode 778 (p. 1), Episode 153 (p. 2-18)",,,,
239,26,Angel Beach,Enjeru Bichi,Angel Beach,17,22/07/2002,"Episode 778 (p. 1), Episode 154 (p. 2-18)",,,,
240,26,Dial Energy,Daiaru Enerugi,Dial Power,17,29/07/2002,"Episode 778 (p. 1), Episode 154 (p. 2-17)",,,,
241,26,The Judgment of Heaven,Ten no Sabaki,Heaven's Judgment,19,05/08/2002,"Crazy Rainbow (p. 1-2), Episode 155 (p. 2-19)",,,,
242,26,Class 2 Criminals,Dai Ni-kyu Hanzaisha,Class-2 Criminals,17,12/08/2002,"Episode 778 (p. 1), Episode 155 (p. 2-3), Episode 156 (p. 4-17)",,,,
243,26,Ordeals,Shiren,Trial,17,26/08/2002,Episode 157 (p. 2-17),,,,
244,26,SOS,Esuoesu,S.O.S.,19,02/09/2002,"Episode 778 (p. 1), Episode 158 (p. 2-19)",,,,
245,26,Adventure on God's Island,Kami no Shima no Boken,Adventure on Kami's Island,17,09/09/2002,"Episode 778 (p. 1), Episode 159 (p. 2-17)",,,,
246,26,"Satori, Priest of the Wandering Forest",Mayoi no Mori no Shinkan Satori,"Satori, Vassal of the Forest of No Return",19,14/09/2002,Episode 160 (p. 2-19),,,,
247,27,Ordeal of Balls,Tama no Shiren,Ball Challenge,19,22/09/2002,"Episode 778 (p. 1), Episode 160 (p. 2-6), Episode 161 (p. 7-19)",,,,
248,27,Former God vs Priest,Moto Kami-sama vs Shinkan,Former Kami vs. Vassal,19,07/10/2002,"Episode 778 (p. 1), Episode 162 (p. 2-19)",,,,
249,27,The Hidden Cloud Village,Kumogakure no Mura,The Village Hidden in the Cloud,19,12/10/2002,"Episode 778 (p. 1), Episode 162 (p. 2-4), Episode 163 (p. 5-19)",,,,
250,27,Ball Dragon,Dama Doragon,Ball Dragon,19,21/10/2002,"Episode 778 (p. 1), Episode 163 (p. 2-19)",,,,
251,27,Overture,Obachua,Overture,19,28/10/2002,"Episode 778 (p. 1), Episode 164 (p. 2-19)",,,,
252,27,Junction,Jankushon,Junction,19,02/11/2002,"Episode 778 (p. 1), Episode 165 (p. 2-19)",,,,
253,27,Vearth,Vasu,Varse,19,11/11/2002,"Episode 778 (p. 1), Episode 166 (p. 2-19)",,,,
254,27,Aubade,Obado,Aubade,19,18/11/2002,"Brand New World (p. 1-2), Episode 167 (p. 3-19)",,,,
255,27,The Anaconda and the Search Team,Uwabami to Tansaku Chimu,The Anaconda and the Search Team,19,25/11/2002,"Episode 778 (p. 1), Episode 168 (p. 2-19)",,,,
256,28,Wyper the Berserker,"""Senki"" Waipa",Wyper the Berserker,19,02/12/2002,"Episode 778 (p. 1), Episode 168 (p. 2-8), Episode 169 (p. 9-19)",,,,
257,28,Dial Battle,Daiaru Batoru,Dial Battle,19,09/12/2002,"Episode 778 (p. 1), Episode 169 (p. 2-19)",,,,
258,28,Several Ways South,Ironna Minami,The Many Souths,19,16/12/2002,"Episode 778 (p. 1), Episode 170 (p. 2-9, 12-19), Episode 169 (p. 10-11)",,,,
259,28,Zoro the Pirate vs Braham the Warrior,Kaizoku Zoro vs Senshi Burahamu,Pirate Zoro vs. Warrior Braham,19,30/12/2002,"Episode 778 (p. 1), Episode 170 (p. 2-19)",,,,
260,28,Luffy the Pirate vs Wyper the Berserker,Kaizoku Rufi vs Senki Waipa,Pirate Luffy vs. Berserker Wyper,19,06/01/2003,Episode 171 (p. 2-17),,,,
261,28,Genbo the Warrior vs Yama the Head Holy Guard,Senshi Genbo vs Shinpeicho Yama,Warrior Genbo vs. Heavenly Warriors Commander Yama,19,20/01/2003,"Episode 778 (p. 1), Episode 171 (p. 2-11, 15-19), Episode 172 (p. 12-14)",,,,
262,28,Chopper the Pirate vs Gedatsu the Priest,Kaizoku Choppa vs Shinkan Gedatsu,Pirate Chopper vs. Vassal Gedatsu,19,27/01/2003,"Episode 778 (p. 1), Episode 172 (p. 2-19)",,,,
263,28,Nami the Pirate and the Weird Knight vs the Holy Guard Lieutenants Hotori and Kotori,Kaizoku Nami to Henna Kishi vs Fuku Shinpeicho Hotori to Kotori,Pirate Nami and the Weird Knight vs. Heavenly Warriors Subcommanders Hotori and Kotori,19,03/02/2003,"Episode 172 (p. 2-4), Episode 173 (p. 5-18), Episode 174 (p. 19)",,,,
264,28,Kamakiri the Warrior vs God Enel,Senshi Kamakiri vs Goddo Eneru,Warrior Kamakiri vs. Kami Eneru,19,10/02/2003,"Episode 173 (p. 2-6, 11-19), Episode 174 (p. 7-10)",,,,
265,29,Robin the Pirate vs Yama the Head Holy Warrior,Kaizoku Robin vs Shinpeicho Yama,Pirate Robin vs. Heavenly Forces Commander Yama,19,17/02/2003,Episode 174 (p. 2-19),,,,
266,29,Chopper the Pirate vs. Ohm the Priest,Kaizoku Choppa vs Shinkan Omu,Pirate Chopper vs. Vassal Ohm,19,24/02/2003,"Episode 174 (p. 2-5), Episode 175 (p. 6-19)",,,,
267,29,March,Machi,March,17,03/03/2003,Episode 175 (p. 2-17),,,,
268,29,Suite,Suwito,Suite,18,10/03/2003,"Episode 176 (p. 2-7, 11-13, 15), Episode 174 (p. 8-10, 14, 17)",,,,
269,29,Concerto,Koncheruto,Concerto,19,17/03/2003,Episode 176 (p. 2-19),,,,
270,29,Serenade,Serenade,Serenade,19,31/03/2003,Episode 177 (p. 2-19),,,,
271,29,Zoro the Pirate vs Ohm the Priest,Kaizoku Zoro vs Shinkan Omu,Pirate Zolo vs. Vassal Ohm,19,07/04/2003,"Episode 177 (p. 2-8), Episode 178 (p. 9-19)",,,,
272,29,Play,Purei,Play,19,14/04/2003,"Episode 174 (p. 2-4), Episode 178 (p. 5-13), Episode 179 (p. 14-19)",,,,
273,29,Quintet,Kuintetto,Quintet,19,21/04/2003,Episode 179 (p. 2-19),,,,
274,29,Oratorio,Oratorio,Oratorio,20,28/04/2003,"Brand New World (p. 1-2), Episode 180 (p. 3-21)",,,,
275,29,Divina Comedia,Dibina Komeidia,Divina Comedia,19,12/05/2003,"Episode 180 (p. 2-13), Episode 181 (p. 14-19)",,,,
276,30,Shandia Rhythm,Shandia Rizumu,Shandian Rhythm,19,19/05/2003,"Episode 181 (p. 2-17), Episode 182 (p. 17-19)",,,,
277,30,Maxim,Makushimu,Maxim,19,26/05/2003,"Episode 182 (p. 2), Episode 181 (p. 3-17)",,,,
278,30,Conis,Konisu,Conis,19,02/06/2003,Episode 182 (p. 2-19),,,,
279,30,Luffy the Pirate vs God Enel,Kaizoku Rufi basasu Goddo Eneru,Pirate Luffy vs. Kami Eneru,18,09/06/2003,Episode 182 (p. 2-19),,,,
280,30,Surfacing,Fujo,Floating,19,16/06/2003,Episode 183 (p. 2-19),,,,
281,30,Deathpiea,Desupia,Deathpiea,19,23/06/2003,Episode 183 (p. 2-19),,,,
282,30,Desire,Nozomi,Desire,19,30/06/2003,Episode 184 (p. 2-19),,,,
283,30,Operation Love Rescue: Front Line,Koi no Kyushutsu Zensen,On the Front Line of Rescuing Love,19,07/07/2003,"Episode 184 (p. 2-6), Episode 185 (p. 7-19)",,,,
284,30,Thanks,Warina,Sorry,19,14/07/2003,"Share the World (p. 1-2), Episode 185 (p. 3-16), Episode 186 (p. 17-19)",,,,
285,30,Capriccio,Kapuritchio,Capriccio,19,19/07/2003,Episode 186 (p. 2-19),,,,
286,31,The Monster of Shandora,Shandora no Mamono,The Shandoran Demon,17,28/07/2003,"Episode 186 (p. 2-8), Episode 187 (p. 9-17)",,,,
287,31,Godkiller,Kamigoroshi,Kami Killing,19,11/08/2003,Episode 187 (p. 2-19),,,,
288,31,Curse,Tatari,Curse,19,25/08/2003,Episode 187 (p. 2-19),,,,
289,31,Full Moon,Bogetsu,Full Moon,21,01/09/2003,Episode 188 (p. 2-21),,,,
290,31,The Light of Shandora,Shandora no Hi,The Light of Shandora,19,08/09/2003,Episode 188 (p. 2-19),,,,
291,31,I'm Right Here,Koko ni Iru,We'll Be Here,19,13/09/2003,"Episode 188 (p. 2-3), Episode 189 (p. 4-19)",,,,
292,31,Meeting a Broken Moon Through the Clouds,Afukoto wa Katawaredzuki no Kumogakure,"To Meet, like the Half-Moon Hidden by Clouds",19,22/09/2003,Episode 189 (p. 2-19),,,,
293,31,Bolero,Borero,Bolero,19,29/09/2003,Episode 189 (p. 2-19),,,,
294,31,Raigoh,Raigo,Kingdom Come,19,06/10/2003,Episode 190 (p. 2-19),,,,
295,31,Giant Jack,Jaianto Jakku,Giant Jack,19,11/10/2003,"Episode 190 (p. 2-7), Episode 191 (p. 8-17)",,,,
296,32,High-Altitude Situation,Saiku Kyokumen,High-Altitude Situation,19,20/10/2003,Episode 191 (p. 2-19),,,,
297,32,Praises of the Earth,Daichi Sansho,Praise for the Land,19,27/10/2003,"Episode 191 (p. 2-3), Episode 192 (p. 4-19)",,,,
298,32,Love Song,Rabu Songu,Love Song,19,01/11/2003,Episode 192 (p. 2-19),,,,
299,32,Fantasia,Fantajia,Fantasia,19,10/11/2003,Episode 193 (p. 2-19),,,,
300,32,Symphony,Shinfoni,Symphony,19,22/11/2003,Episode 193 (p. 2-19),,,,
301,32,I Was Here,Ware Koko ni Itaru,I Was Here,19,01/12/2003,Episode 194 (p. 2-19),,,,
302,32,Finale,Finare,Finale,19,08/12/2003,Episode 195 (p. 2-19),,,,
303,32,Rich Pirates,Kanemochi Kaizoku-dan,Rich Pirates,19,15/12/2003,"Episode 195 (p. 2-3, 10-11, 14), Episode 203 (p. 16-18), Episode 207 (p. 4-9, 13), Episode 225 (p. 19)",,,,
304,32,Adventure on a Long Island,Nagai Shima no Boken,Long Island Adventure,21,22/12/2003,Episode 207 (p. 2-21),,,,
305,32,Foxy the Silver Fox,Gin Gitsune no Fokushi,Foxy the Silver Fox,19,05/01/2004,"Episode 207 (p. 2-6), Episode 208 (p. 7-19)",,,,
306,33,Donut Race!!,Donatsu Resu!!,Donut Race!,19,19/01/2004,"Episode 208 (p. 2-15), Episode 209 (p. 16-19)",,,,
307,33,"Ready, Donuts!!",Redii Donatsu!!,"Ready, Set, Donut!",19,26/01/2004,Episode 209 (p. 2-19),,,,
308,33,The Grand Interference Plan,Bodai Daisakusen,Obstructive Tactics,19,02/02/2004,Episode 210 (p. 2-19),,,,
309,33,Groggy Monsters,Gurokki Monsutazu,Groggy Monsters,17,09/02/2004,Episode 210 (p. 2-17),,,,
310,33,Groggy Ring!!,Gurokki Ringu!!,Groggy Ring!!,19,16/02/2004,Episode 211 (p. 2-19),,,,
311,33,Rough Game,Rafu Gemu,Rough Game,19,23/02/2004,Episode 211 (p. 2-19),,,,
312,33,GOAL!!,Goru!!,Goal!!,19,01/03/2004,Episode 212 (p. 2-19),,,,
313,33,MAIN EVENT,Mein Ibento,Main Event,19,08/03/2004,"Episode 212 (p. 2-11), Episode 215 (p. 8-9), Episode 217 (p. 12-19)",,,,
314,33,Combat!!!,Konbatto!!!,Combat!!,19,15/03/2004,Episode 217 (p. 2-19),,,,
315,33,Secret Room,Himitsu no Heya,Secret Room,19,22/03/2004,Episode 218 (p. 2-19),,,,
316,33,Brother Soul,Buraza Souru,Brother Soul,19,29/03/2004,Episode 218 (p. 2-19),,,,
317,34,K.O.,Nokku Auto,K.O.,21,12/04/2004,Episode 219 (p. 2-21),,,,
318,34,Closure,Heikai,Closure,19,19/04/2004,"Episode 219 (p. 2-17), Episode 226 (p. 18-19)",,,,
319,34,"Marine Headquarters Admiral, Aokiji","Kaigun Honbu ""Taisho"" Aokiji",Admiral Aokiji of the Navy Headquarters,19,26/04/2004,Episode 227 (p. 2-19),,,,
320,34,Greatest Power,Saiko Senryoku,Ultimate Military Force,19,10/05/2004,"Episode 227 (p. 2-14), Episode 228 (p. 15-19)",,,,
321,34,One-on-One,Ikkiuchi,One-on-One,19,17/05/2004,Episode 228 (p. 2-19),,,,
322,34,Puffing Tom,Paffingu Tomu,Puffing Tom,19,24/05/2004,"Episode 228 (p. 2-9), Episode 229 (p. 10-18)",,,,
323,34,"The Water Metropolis, Water 7","""Mizu no Miyako"" Wota Sebun","The City of Water, Water Seven",19,31/05/2004,"Episode 229 (p. 2-13), Episode 230 (p. 14-19)",,,,
324,34,Adventure in the City on the Water,Suijo Toshi no Boken,Adventures in the City of Water,19,07/06/2004,"Episode 229 (p. 2-8), Episode 230 (p. 9-18)",,,,
325,34,The Franky Family,Furanki Ikka,The Franky Family,19,14/06/2004,"Episode 231 (p. 2-5, 10-19), Episode 230 (p. 6-9)",,,,
326,34,Iceburg-san,Aisubagu-san,Mr. Iceberg,17,21/06/2004,"Episode 231 (p. 2-13), Episode 232 (p. 14-17)",,,,
327,34,"Shipyard Island, Construction Dock No. 1",Zosenjima Zosen Kojo Ichi-ban Dokku,"Shipbuilding Island, Repair Dock No. 1",21,28/06/2004,"Kaze wo Sagashite (p. 1-2), Episode 232 (p. 3-21)",,,,
328,35,The Pirate Kidnapping Incident,Kaizoku Yukai Jiken,The Pirate Abduction Incident,19,12/07/2004,Episode 233 (p. 2-19),,,,
329,35,"My Name Is ""Franky""","Ore no Na wa ""Furanki""",My Name Is Franky,19,17/07/2004,"Episode 233 (p. 2-11), Episode 234 (p. 12-19)",,,,
330,35,I've Decided,Kimeta,It's Decided,17,26/07/2004,Episode 234 (p. 2-17),,,,
331,35,A Big Quarrel,Ogenka,The Big Argument,19,02/08/2004,"Episode 234 (p. 2-3), Episode 235 (p. 4-19)",,,,
332,35,Luffy vs. Usopp,Rufi vs Usoppu,Luffy vs. Usopp,18,09/08/2004,"Episode 235 (p. 2-8), Episode 236 (p. 9-19)",,,,
333,35,Captain,Kyaputen,Captain,18,23/08/2004,Episode 236 (p. 2-19),,,,
334,35,The Case of the Sealed Room,Misshitsu no Daijiken,Big Trouble in the Secret Room,19,30/08/2004,Episode 237 (p. 2-19),,,,
335,35,WARNING,Woningu,Warning,19,06/09/2004,"Episode 237 (p. 2-14), Episode 238 (p. 15-19)",,,,
336,35,Luffy vs. Franky,Rufi vs Furanki,Luffy vs. Franky,19,13/09/2004,Episode 238 (p. 2-19),,,,
337,36,"Guards of the ""Water Metropolis""","""Mizu no Miyako"" no Yojinbo",Protectors of the City of Water,19,18/09/2004,"Episode 238 (p. 2-14), Episode 239 (p. 15-19)",,,,
338,36,Coup de Vent,Ku do Van,Coup de Vent,19,27/09/2004,Episode 239 (p. 2-19),,,,
339,36,Rumors,Uwasa,Rumors,19,04/10/2004,"Episode 239 (p. 2-9), Episode 240 (p. 10-19)",,,,
340,36,The Woman Who Brings Darkness,Yami o Hiku Onna,The Woman Who Brings Darkness,19,09/10/2004,"Episode 240 (p. 2-15), Episode 241 (p. 16-19)",,,,
341,36,Devil,Akuma,Demon,19,18/10/2004,Episode 241 (p. 2-19),,,,
342,36,Messengers of Darkness,Yami no Shisha,The Messengers of Darkness,19,25/10/2004,Episode 242 (p. 2-19),,,,
343,36,Cipher Pol No.9,Saifa Poru Nanba Nain,Cipher Pol No. 9,19,01/11/2004,"Episode 242 (p. 2-17), Episode 243 (p. 18-19)",,,,
344,36,Opposing Powers,Teiko Seiryoku,Opposing Force,19,08/11/2004,Episode 243 (p. 2-19),,,,
345,36,The Concealed,Senpukusha,Sleepers,19,15/11/2004,Episode 243 (p. 2-19),,,,
346,36,The 9th Justice,Kyu-banme no Seigi,The Ninth Justice,19,29/11/2004,Episode 244 (p. 2-19),,,,
347,37,Rokushiki,Rokushiki,Six Powers,19,06/12/2004,"Episode 244 (p. 2-3), Episode 245 (p. 4-19)",,,,
348,37,Combat Power,Sentoryoku,Fighting Power,20,13/12/2004,Episode 245 (p. 2-19),,,,
349,37,One Citizen,Ichi Shimin,Ordinary Citizens,19,20/12/2004,Episode 246 (p. 2-19),,,,
350,37,Warehouse Under the Bridge,Hashi no Shita Soko,The Warehouse Under the Bridge,19,03/01/2005,"Episode 246 (p. 2-17), Episode 247 (p. 18-19)",,,,
351,37,Klabautermann,Kurabautaman,Klabautermann,19,17/01/2005,Episode 247 (p. 2-19),,,,
352,37,Tom's Workers,Tomuzu Wakazu,Tom's Workers,19,24/01/2005,"Episode 247 (p. 2-7), Episode 248 (p. 8-19)",,,,
353,37,The Legendary Shipwright,Densetsu no Funadaiku,The Legendary Shipwright,19,31/01/2005,"Episode 248 (p. 2-3, 9-19), Episode 249 (p. 4-8)",,,,
354,37,Sea Train,Umi Ressha,Sea Train,19,07/02/2005,Episode 248 (p. 2-19),,,,
355,37,Spandam,Supandamu,Spandam,19,14/02/2005,Episode 249 (p. 2-19),,,,
356,37,Tom-san,Tomu-san,Mr. Tom,19,28/02/2005,"Episode 249 (p. 2-10), Episode 250 (p. 11-19)",,,,
357,37,Cutty Flam,Kati Furamu,Cutty Flam,21,07/03/2005,Episode 250 (p. 2-21),,,,
358,38,Revival,Fukkatsu,Reactivation,19,14/03/2005,"Episode 320 (p. 3), Episode 250 (p. 11-14), Episode 251 (p. 15-19)",,,,
359,38,Bingo,Bingo,Bingo,19,19/03/2005,Episode 251 (p. 2-19),,,,
360,38,Departing Soon,Mamonaku Shukko,Departing Soon,19,28/03/2005,Episode 252 (p. 2-19),,,,
361,38,P.S.,Tsuishin,P.S.,19,04/04/2005,"Episode 252 (p. 2-9), Episode 253 (p. 10-19)",,,,
362,38,Ebb Tide,Hiki Shio,Ebb Tide,19,11/04/2005,Episode 253 (p. 2-19),,,,
363,38,Aqua Laguna,Akua Raguna,Aqua Laguna,19,18/04/2005,Episode 254 (p. 2-19),,,,
364,38,Kokoro,Kokoro,Kokoro,19,25/04/2005,"Episode 254 (p. 2-9), Episode 255 (p. 10-17)",,,,
365,38,Rocketman!!,Rokettoman!!,Rocketman!!,19,09/05/2005,"Episode 254 (p. 2-5), Episode 255 (p. 6-19)",,,,
366,38,Sortie!!,Shutsugeki!!,Sortie!,19,16/05/2005,"Episode 256 (p. 2-14), Episode 257 (p. 15-19)",,,,
367,38,Sogeking,Sogekingu,Sniper King,19,23/05/2005,Episode 257 (p. 2-19),,,,
368,39,Sea Train Battle Game,Umi Ressha Batoru Gemu,Sea Train Battle Game,19,30/05/2005,Episode 258 (p. 2-19),,,,
369,39,Ramen Kenpo,Ramen Kenpo,Ramen Kung Fu,19,06/06/2005,"Episode 259 (p. 2-4, 9-19), Episode 258 (p. 5-8)",,,,
370,39,You're Not Alone,Hitori janai,You're Not Alone,19,13/06/2005,"Episode 260 (p. 2-6), Episode 259 (p. 7-19)",,,,
371,39,The Admirable Captain T Bone,Appare Ti-Bon Taisa,The Honorable Captain T Bone,19,20/06/2005,"Episode 260 (p. 2-10), Episode 261 (p. 11-17)",,,,
372,39,Parage,Paraju,Plastic Surgery,19,27/06/2005,"Episode 260 (p. 2-12), Episode 261 (p. 13-19)",,,,
373,39,Necessary Evil,Hitsuyo Aku,Necessary Evil,19,04/07/2005,"Episode 261 (p. 2-5), Episode 262 (p. 6-19)",,,,
374,39,Struggle,Sodatsusen,Scramble,19,16/07/2005,"Episode 262 (p. 2-13), Episode 263 (p. 14-19)",,,,
375,39,The Superhumans of Enies Lobby,Eniesu Robi no Chojin-tachi,The Supermen of Enies Lobby,19,25/07/2005,"Episode 263 (p. 2-13), Episode 264 (p. 14-19)",,,,
376,39,Got It!!!,Wakatta!!!,I Got It!!,19,01/08/2005,"Episode 264 (p. 2-16), Episode 265 (p. 17-19)",,,,
377,39,Great Battle on the Judiciary Island!!,Shiho no Shima no Daikessen!!,The Big Showdown on the Judiciary Island,19,08/08/2005,Episode 265 (p. 2-19),,,,
378,40,Damage Report,Higai Jokyo,Casualties,19,22/08/2005,"Episode 265 (p. 2-6), Episode 266 (p. 7-19)",,,,
379,40,Doriki,Doriki,Power Level,19,29/08/2005,"Crazy Rainbow (p. 1-2), Episode 266 (p. 3-10), Episode 267 (p. 11-19)",,,,
380,40,"Express to Enies Lobby, Main Island",Eniesu Robi Hontoyuki Ekusupuresu,Enies Lobby Main Island Express,19,05/09/2005,Episode 267 (p. 2-19),,,,
381,40,Fired,Kubi,Fired,18,12/09/2005,Episode 268 (p. 2-19),,,,
382,40,The Demon's Hideout,Oni no Kakure-ga,Demon Lair,19,17/09/2005,"Episode 268 (p. 2-8), Episode 269 (p. 9-19)",,,,
383,40,Luffy vs Blueno,Rufi vs Buruno,Luffy vs. Blueno,19,26/09/2005,"Episode 270 (p. 2-3, 9-19), Episode 269 (p. 4-8)",,,,
384,40,Raise the Counterattack Signal,Hangeki no Noroshi o Agero,Signal the Counterattack,19,03/10/2005,"Episode 270 (p. 2-7), Episode 271 (p. 8-19)",,,,
385,40,There Is a Way,Michi wa Aru,There Is a Way,19,08/10/2005,"Episode 271 (p. 2-15), Episode 272 (p. 16-19)",,,,
386,40,Unprecedented,Zendai Mimon,Unprecedented,15,17/10/2005,Episode 272 (p. 2-15),,,,
387,40,Gear,Gia,Gear,19,31/10/2005,"Episode 273 (p. 2-9), Episode 272 (p. 10-19)",,,,
388,40,Gear Second,Gia Sekando,Gear Two,19,07/11/2005,Episode 273 (p. 2-19),,,,
389,41,Respond,Oto,Response,19,14/11/2005,Episode 274 (p. 2-19),,,,
390,41,Return Fire,Osen,Accepting the Challenge,19,21/11/2005,Episode 274 (p. 2-19),,,,
391,41,The Girl Called a Devil,Akuma to Yobareta Shojo,The Girl They Called a Demon,19,28/11/2005,Episode 275 (p. 3-19),,,,
392,41,Dereshi,Dereshi,Dereshi,19,12/12/2005,Episode 275 (p. 2-19),,,,
393,41,Olvia,Orubia,Olvia,19,19/12/2005,Episode 276 (p. 2-19),,,,
394,41,Demons of Ohara,Ohara no Akuma-tachi,The Demons of Ohara,19,26/12/2005,Episode 276 (p. 2-19),,,,
395,41,Ohara vs The World Government,Ohara vs Sekai Seifu,Ohara vs. the World Government,19,07/01/2006,Episode 277 (p. 2-19),,,,
396,41,Saul,Sauro,Saul,19,23/01/2006,Episode 277 (p. 2-19),,,,
397,41,In Order to Reach the Future,Mirai-e Todoku youni,In Hopes of Reaching the Future,19,30/01/2006,Episode 278 (p. 2-19),,,,
398,41,Declaration of War,Sensen Fukoku,Declaration of War,19,06/02/2006,Episode 278 (p. 2-19),,,,
399,41,Jump into the Waterfall!!,Taki ni Mukatte Tobe!!,Jump Toward the Waterfall!!,19,13/02/2006,Episode 284 (p. 2-19),,,,
400,42,The Releasing Key,Kaiho no Kagi,The Key to Freedom,19,20/02/2006,"Episode 284 (p. 2-3), Episode 285 (p. 4-19)",,,,
401,42,Pirates vs CP9,Kaizoku vs Shi Pi Nain,Pirates vs. CP9,19,27/02/2006,Episode 286 (p. 2-19),,,,
402,42,No. 2 Handcuffs,Ni-ban no Tejo,Handcuffs No. 2,19,06/03/2006,"Episode 286 (p. 2-7), Episode 287 (p. 8-19)",,,,
